s,N,a,ratio_neg,ratio_pos,,
0.262364264,2000,1,1.018234134,1.009022576,,
0.262364264,3000,1,1.000229139,1.016775019,,
0.262364264,5000,1,0.976466254,1.021060979,,
0.262364264,7000,1,0.979473524,1.010837707,,
0.262364264,10000,1,1.005213875,1.020762998,,
0.262364264,50000,1,0.998776332,0.993989501,,
0.262364264,100000,1,0.984432975,0.974630568,,
0.262364264,100,2,0.995918257,1.067295125,,
0.262364264,200,2,1.020969191,1.033297418,,
0.262364264,300,2,0.946353356,1.023687535,,
0.262364264,500,2,1.006757616,1.032913722,,
0.262364264,700,2,0.994918916,1.013938982,,
0.262364264,1000,2,1.020447524,1.002542405,,
0.262364264,2000,2,1.03728491,1.011593507,,
0.262364264,3000,2,1.018944671,1.027910682,,
0.262364264,5000,2,0.974363174,1.016889057,,
0.262364264,7000,2,0.972220976,1.015107087,,
0.262364264,10000,2,1.005040818,1.032444541,,
0.262364264,50000,2,0.999845153,0.989387684,,
0.262364264,100000,2,0.988950679,0.98106976,,
0.262364264,100,3,1.023902755,1.108938404,,
0.262364264,200,3,1.03085034,1.066515045,,
0.262364264,300,3,0.969333552,1.056193956,,
0.262364264,500,3,1.05147575,1.024114747,,
0.262364264,700,3,0.998728202,1.044737738,,
0.262364264,1000,3,1.020854639,1.020930631,,
0.262364264,2000,3,1.021041541,1.021136717,,
0.262364264,3000,3,1.015097578,1.038734002,,
0.262364264,5000,3,0.994435534,1.00674373,,
0.262364264,7000,3,0.969618454,1.011687831,,
0.262364264,10000,3,1.002200602,1.049068899,,
0.262364264,50000,3,1.011429229,0.999216457,,
0.262364264,100000,3,0.991128578,0.987313557,,
0.262364264,100,4,1.053431075,1.15618307,,
0.262364264,200,4,1.054090393,1.104319385,,
0.262364264,300,4,0.992170553,1.087526389,,
0.262364264,500,4,1.05980787,1.047818424,,
0.262364264,700,4,1.011477157,1.057344037,,
0.262364264,1000,4,1.041026069,1.036760813,,
0.262364264,2000,4,1.028839998,1.039658033,,
0.262364264,3000,4,1.016043073,1.035538517,,
0.262364264,5000,4,1.000535041,1.028715809,,
0.262364264,7000,4,0.985030399,1.009535482,,
0.262364264,10000,4,1.006073303,1.038634726,,
0.262364264,50000,4,1.023475807,1.011604523,,
0.262364264,100000,4,0.998385358,0.982423986,,
0.262364264,100,5,1.075022911,1.220024352,,
0.262364264,200,5,1.072010154,1.146813733,,
0.262364264,300,5,1.008383967,1.135534406,,
0.262364264,500,5,1.057244071,1.081447346,,
0.262364264,700,5,1.02921248,1.077060514,,
0.262364264,1000,5,1.037945101,1.061358963,,
0.262364264,2000,5,1.038235735,1.059658656,,
0.262364264,3000,5,1.008923789,1.038618397,,
0.262364264,5000,5,1.025067727,1.041930675,,
0.262364264,7000,5,0.992581566,1.005211479,,
0.262364264,10000,5,1.003085513,1.050063582,,
0.262364264,50000,5,1.021019514,1.000271503,,
0.262364264,100000,5,1.005835275,0.982378533,,
0.262364264,100,6,1.109364381,1.281663005,,
0.262364264,200,6,1.088981172,1.187031451,,
0.262364264,300,6,1.049098244,1.189727525,,
0.262364264,500,6,1.082780226,1.121741524,,
0.262364264,700,6,1.036473558,1.10512752,,
0.262364264,1000,6,1.039417683,1.077565643,,
0.262364264,2000,6,1.045110744,1.059015242,,
0.262364264,3000,6,1.010750762,1.055789413,,
0.262364264,5000,6,1.038381963,1.046400174,,
0.262364264,7000,6,0.987875491,1.009628048,,
0.262364264,10000,6,0.990054632,1.051143973,,
0.262364264,50000,6,1.023436662,1.013160347,,
0.262364264,100000,6,1.010071036,0.985432804,,
0.262364264,100,7,1.137118667,1.35950018,,
0.262364264,200,7,1.121495107,1.21930455,,
0.262364264,300,7,1.075719377,1.210510771,,
0.262364264,500,7,1.104322479,1.155350004,,
0.262364264,700,7,1.062690779,1.137865968,,
0.262364264,1000,7,1.053646662,1.091721089,,
0.262364264,2000,7,1.046808576,1.074159646,,
0.262364264,3000,7,1.021680793,1.065664498,,
0.262364264,5000,7,1.036624392,1.054702294,,
0.262364264,7000,7,1.00374251,1.01047769,,
0.262364264,10000,7,1.003101699,1.047417597,,
0.262364264,50000,7,1.010720067,1.024274711,,
0.262364264,100000,7,1.001748487,1.002160771,,
0.336472237,100,1,0.990029317,1.032200962,,
0.336472237,200,1,0.983119194,1.028369862,,
0.336472237,300,1,0.984889399,1.020293109,,
0.336472237,500,1,0.978668692,1.009549195,,
0.336472237,700,1,0.988528769,0.998362979,,
0.336472237,1000,1,1.02214535,1.036798118,,
0.336472237,2000,1,0.957029117,0.988930177,,
0.336472237,3000,1,1.009680585,1.00043521,,
0.336472237,5000,1,0.999196791,0.993192774,,
0.336472237,7000,1,1.004698619,1.016800651,,
0.336472237,10000,1,1.008403065,1.015000598,,
0.336472237,50000,1,0.980591792,1.004156281,,
0.336472237,100000,1,0.995117483,1.014787146,,
0.336472237,100,2,1.008404924,1.074820605,,
0.336472237,200,2,1.002064301,1.039531869,,
0.336472237,300,2,0.974021497,1.041316115,,
0.336472237,500,2,0.999451246,1.038741333,,
0.336472237,700,2,1.01138034,1.000912099,,
0.336472237,1000,2,1.030910253,1.040472724,,
0.336472237,2000,2,0.982071304,0.988694557,,
0.336472237,3000,2,1.023686532,0.996212925,,
0.336472237,5000,2,1.01890853,1.012122916,,
0.336472237,7000,2,1.009713094,1.027524419,,
0.336472237,10000,2,1.014770328,1.022103044,,
0.336472237,50000,2,0.998681549,1.011343479,,
0.336472237,100000,2,0.986590933,1.016095165,,
0.336472237,100,3,1.02712542,1.145245578,,
0.336472237,200,3,1.024987253,1.106824657,,
0.336472237,300,3,0.993515055,1.081297295,,
0.336472237,500,3,1.006068606,1.07576269,,
0.336472237,700,3,1.027513942,1.044822318,,
0.336472237,1000,3,1.042746675,1.086465534,,
0.336472237,2000,3,0.996809779,0.99818704,,
0.336472237,3000,3,1.023034377,1.005576045,,
0.336472237,5000,3,0.996687055,1.023211456,,
0.336472237,7000,3,1.017721089,1.034691419,,
0.336472237,10000,3,1.010167138,1.026057227,,
0.336472237,50000,3,1.016005696,1.021627619,,
0.336472237,100000,3,0.993154039,1.014078675,,
0.336472237,100,4,1.065220254,1.226071414,,
0.336472237,200,4,1.053878316,1.181153159,,
0.336472237,300,4,1.027928342,1.10848656,,
0.336472237,500,4,1.020963979,1.113956728,,
0.336472237,700,4,1.043816175,1.074464424,,
0.336472237,1000,4,1.058714828,1.106782259,,
0.336472237,2000,4,1.01849077,1.0340595,,
0.336472237,3000,4,1.009516818,1.021655874,,
0.336472237,5000,4,1.009128739,1.03769204,,
0.336472237,7000,4,1.015270921,1.04112578,,
0.336472237,10000,4,0.998087627,1.038307507,,
0.336472237,50000,4,1.024578554,1.036165903,,
0.336472237,100000,4,0.97803409,1.019265946,,
0.336472237,100,5,1.090363305,1.310470097,,
0.336472237,200,5,1.071332919,1.23959243,,
0.336472237,300,5,1.065062932,1.159822617,,
0.336472237,500,5,1.041522667,1.164744554,,
0.336472237,700,5,1.058253064,1.112102631,,
0.336472237,1000,5,1.066113906,1.128757595,,
0.336472237,2000,5,1.027950971,1.053301385,,
0.336472237,3000,5,1.014384664,1.030597911,,
0.336472237,5000,5,1.026789616,1.04942616,,
0.336472237,7000,5,1.022696428,1.038533263,,
0.336472237,10000,5,0.994499519,1.032896826,,
0.336472237,50000,5,1.016547445,1.044917546,,
0.336472237,100000,5,0.999532935,1.028273081,,
0.336472237,100,6,1.128710675,1.402467142,,
0.336472237,200,6,1.103232998,1.324365556,,
0.336472237,300,6,1.107752335,1.22454393,,
0.336472237,500,6,1.070016848,1.199199799,,
0.336472237,700,6,1.091721309,1.122217426,,
0.336472237,1000,6,1.083102159,1.172937424,,
